row_id,company_name,job_title,average_salary,company_age
1,1-800-Flowers,Data Scientist,203.5,44
2,1010data,Software Data Engineer,107,20
3,10x Genomics,"Manager, Field Application Scientist, Southeast",271,8
4,1904labs,Data Scientist,126.5,4
5,22nd Century Technologies,Data Scientist,113,23
6,7Park Data,"VP, Data Science",78,8
7,A Place for Mom,Data Scientist,103,20
8,A-Line Staffing Solutions,Data Scientist,136,16
9,ABIOMED,"Manager / Lead, Data Science & Analytics",120,39
10,ALTA IT Services,Data Scientist,185,16
11,ASRC Federal Holding Company,Data Scientist,185,17
12,Acuity Insurance,Senior Research Statistician- Data Scientist,105,95
13,Advanced BioScience Laboratories,Staff Scientist- Upstream PD,99,59
14,Adwait Algorithm,Data Scientist,185,5
15,AeroVironment,"Machine Learning Engineer, Sr.",148,49
16,Affinity Solutions,Data Scientist,154,22
17,Affinity Solutions,Senior Data Engineer,148,22
18,Affinity Solutions,Staff BI and Data Engineer,107,22
19,AgreeYa Solutions,Data Scientist,101.5,21
20,Alector,"Vice President, Biometrics and Clinical Data Management",148,7
21,Alignment Healthcare,Data Engineer,114,7
22,Alion Science & Technology,Data Engineer,92,19
23,Allen Institute,Scientist - Machine Learning,192.5,17
24,AllianceBernstein,Data Analyst/Engineer,115,53
25,AllianceBernstein,RFP Data Analyst,115,53
26,Allied Solutions,Data Analyst,105,19
27,Altus Group,Data Scientist,120,15
28,Americo Life,Data Engineer,123,28
29,Ameritas Life Insurance Corp,Data Scientist,88.5,133
30,Amyris,Data Scientist 3 (718),134.5,17
31,Analysis Group,Data Scientist,128.5,39
32,Analysis Group,Director of Data Science,120,39
33,Apex Systems,Data Scientist,43,25
34,AppLovin,Data Engineer,99,8
35,Apple,"AI/ML - Machine Learning Scientist, Siri Understanding",123,44
36,Apple,Machine Learning Scientist / Engineer,89,44
37,Aptive,Data Scientist,271,8
38,Argo Group US,Sr. Data Scientist II,86.5,72
39,Arsenal Biosciences,NGS Scientist,115,1
40,Arsenal Biosciences,Scientist - Molecular Biology,103,1
41,AstraZeneca,AI Ops Data Scientist,109.6666666666666667,107
42,AstraZeneca,Patient Safety- Associate Data Scientist,105.5,107
43,AstraZeneca,Principal Data Scientist,76,107
44,AstraZeneca,"Real World Science, Data Scientist",188,107
45,AstraZeneca,Senior Data Scientist - R&D Oncology,129.5,107
46,Autodesk,Data Science Manager,164,38
47,Autodesk,Principal Data Scientist,98.5,38
48,Autodesk,Senior Data Analyst,133,38
49,Autodesk,Senior Data Analyst,133,52
50,Autodesk,Senior Data Scientist,110.5,38
51,Averity,Data Scientist,134,6
52,"Aveshka, Inc.",Data Scientist,203.5,10
53,Axiologic Solutions,Data Scientist,114,11
