	company_location	job_category	experience_level	Average Salary
0	CA	Analyst	EN	49049.4
1	CA	Analyst	EX	15000.0
2	CA	Analyst	MI	82837.53846153847
3	CA	Analyst	SE	124070.37037037036
4	CA	Data Engineer	EN	98000.0
5	CA	Data Engineer	EX	115222.0
6	CA	Data Engineer	MI	150206.0
7	CA	Data Engineer	SE	144518.62068965516
8	CA	Data Scientist	EN	88093.66666666667
9	CA	Data Scientist	EX	192037.0
10	CA	Data Scientist	MI	100412.7
11	CA	Data Scientist	SE	179842.3103448276
12	CA	Machine Learning Engineer	MI	91025.0
13	CA	Machine Learning Engineer	SE	161293.4
14	DE	Analyst	EN	54418.5
15	DE	Analyst	MI	50640.333333333336
16	DE	Analyst	SE	71788.66666666667
17	DE	Data Engineer	EN	50555.5
18	DE	Data Engineer	MI	59167.333333333336
19	DE	Data Engineer	SE	124600.8
20	DE	Data Scientist	EN	77245.33333333333
21	DE	Data Scientist	EX	135936.0
22	DE	Data Scientist	MI	78660.14285714286
23	DE	Data Scientist	SE	121874.5
24	DE	Machine Learning Engineer	EN	43935.5
25	DE	Machine Learning Engineer	MI	77116.0
26	DE	Machine Learning Engineer	SE	155057.2857142857
27	ES	Analyst	EN	21593.0
28	ES	Analyst	MI	40710.333333333336
29	ES	Analyst	SE	46514.6875
30	ES	Data Engineer	EN	41027.0
31	ES	Data Engineer	EX	79833.0
32	ES	Data Engineer	MI	72896.33333333333
33	ES	Data Engineer	SE	60417.36363636364
34	ES	Data Scientist	EN	30119.0
35	ES	Data Scientist	EX	69741.0
36	ES	Data Scientist	MI	43293.71428571428
37	ES	Data Scientist	SE	59915.0
38	ES	Machine Learning Engineer	MI	43075.0
39	GB	Analyst	EN	46960.166666666664
40	GB	Analyst	MI	77602.92307692308
41	GB	Analyst	SE	108293.97619047618
42	GB	Data Engineer	EN	61029.5
43	GB	Data Engineer	EX	140758.0
44	GB	Data Engineer	MI	81048.23287671233
45	GB	Data Engineer	SE	109935.5
46	GB	Data Scientist	EN	92625.16666666667
47	GB	Data Scientist	EX	191787.4
48	GB	Data Scientist	MI	90396.10169491525
49	GB	Data Scientist	SE	146784.47619047618
50	GB	Machine Learning Engineer	EN	40167.666666666664
51	GB	Machine Learning Engineer	MI	103052.5
52	GB	Machine Learning Engineer	SE	172153.75862068965
53	US	Analyst	EN	74855.22935779816
54	US	Analyst	EX	135280.95238095237
55	US	Analyst	MI	105588.48618784531
56	US	Analyst	SE	126731.60996240602
57	US	Data Engineer	EN	106034.30769230769
58	US	Data Engineer	EX	191336.77083333334
59	US	Data Engineer	MI	130222.3694267516
60	US	Data Engineer	SE	161482.79730596536
61	US	Data Scientist	EN	127076.77380952382
62	US	Data Scientist	EX	223087.51666666666
63	US	Data Scientist	MI	147235.71986970684
64	US	Data Scientist	SE	179786.43394199785
65	US	Machine Learning Engineer	EN	132054.05
66	US	Machine Learning Engineer	EX	206245.45454545456
67	US	Machine Learning Engineer	MI	159477.8230769231
68	US	Machine Learning Engineer	SE	196347.3410672854
