job_title,salary_estimate,rating,company_name,location,headquarters,size,ownership_type,industry,sector,revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadloop,spark,aws,tableau,big_data,job_simp,seniority
Sr Data Scientist,137-171 ,3.1,Healthfirst,"New York, NY","New York, NY",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,137,171,154, NY,true,27,false,false,false,false,true,false,false,data scientist,false
Data Scientist,137-171 ,4.2,ManTech,"Chantilly, VA","Herndon, VA",5001 to 10000 employees,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),137,171,154, VA,false,52,false,false,true,false,false,false,true,data scientist,false
Data Scientist,137-171 ,3.8,Analysis Group,"Boston, MA","Boston, MA",1001 to 5000 employees,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),137,171,154, MA,true,39,true,true,false,false,true,false,false,data scientist,false
Data Scientist,137-171 ,3.5,INFICON,"Newton, MA","Bad Ragaz, Switzerland",501 to 1000 employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),137,171,154, MA,false,20,true,true,false,false,true,false,false,data scientist,false
Data Scientist,137-171 ,2.9,Affinity Solutions,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,137,171,154, NY,true,22,true,true,false,false,false,false,false,data scientist,false
Data Scientist,137-171 ,4.2,HG Insights,"Santa Barbara, CA","Santa Barbara, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137,171,154, CA,true,10,true,true,true,true,false,false,false,data scientist,false
Data Scientist / Machine Learning Expert,137-171 ,3.9,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137,171,154, MA,false,24,true,false,false,false,false,false,false,data scientist,false
Data Scientist,137-171 ,3.5,iRobot,"Bedford, MA","Bedford, MA",1001 to 5000 employees,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),137,171,154, MA,true,30,true,false,false,false,false,false,false,data scientist,false
Staff Data Scientist - Analytics,137-171 ,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),137,171,154, CA,false,37,false,false,false,false,false,false,false,data scientist,false
Data Scientist,137-171 ,3.6,XSELL Technologies,"Chicago, IL","Chicago, IL",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137,171,154, IL,true,6,true,false,false,false,false,false,false,data scientist,false
